,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,V,Ga,Cu,Zn,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Th,Nb,Y,Hf,Ta,U,Pb,Rb,Cs,Sr,Sc,Zr,Latitude,Longitude,Rock_Type,Period,S_Domain,Color
G22067,52.93106687569493,0.9979148507593704,19.805529803466214,8.948072494612596,0.1565658587868353,4.442774408617386,8.669333932903575,2.968796681009126,0.9215312448987764,0.1584138492512045,17.58916476375,17.92161364,272.71955,18.37765,88.52515,77.24185,10.55911486996732,22.648989140827272,2.9094041986233856,12.761328581823468,3.268546011935331,1.105744444030456,3.5765071308018688,0.6030135938525041,3.699812462365761,0.797052803468956,2.258270594429736,0.3522273384179313,2.1884683333811714,0.3511805407401062,199.111305144674,2.869412507256685,2.799425168925151,21.939985607883308,2.029344256305117,0.23494293647169,0.7164102968488961,5.864564518832736,13.00661337389401,0.4168901140657821,289.5351597637344,27.102858859538607,70.29929193112524,42.869079,42.031702,Mafic Intrusive,Jurassic,Jvari,#999933
G22068A,54.96370731209673,0.8190976561503739,18.619602642250506,8.235354127878805,0.1614935346476574,3.830651126016986,7.970721007931854,3.842383126323039,1.41589941084955,0.1410900558545232,15.06596265035,33.31647451999999,217.34025,16.85335,29.2151,72.20049999999999,12.603371052985397,26.25557063531893,3.298576510356092,13.635765837297404,3.2834352706962795,0.9948778561300023,3.563842603489177,0.5974987913297242,3.720221396611842,0.8001024338050219,2.242212782520893,0.355985730241714,2.268818566521903,0.3448988771633399,214.65608723041197,3.7303209304009552,4.974962499066323,21.50660262736685,2.3141790638368835,0.3980316276576723,0.9739608825630516,6.004860347129249,55.17262123639137,1.3223855729374834,196.19486918493888,27.60554885765893,83.08151141840318,42.864836,42.03427,Mafic Intrusive,Jurassic,Jvari,#999933
G22068B,54.58127052279416,0.8389135388802175,18.338699477690696,8.531602137104386,0.165987688644647,4.116989856078668,8.18528723916773,3.82803304073146,1.2717813707962764,0.1414351281117533,10.919657742950005,36.77107672,226.1436,15.7011,45.939150000000005,82.55515,10.946812210972082,23.07982996745611,2.9314176538797296,12.150864181934692,2.9218571233786155,0.8969551397566071,3.194142967939496,0.535829854449631,3.387720460354765,0.7321236330858379,2.076570915562108,0.3354534581479231,2.0650036557554734,0.3252285950461056,185.0726869505149,3.0326966176592163,4.904256972299627,19.169471026029367,2.172073255205789,0.4966110057989086,0.9430602416251236,4.713357457656309,47.1432170298083,1.2138600071832644,172.82047655205776,26.931023687604803,79.76821830825132,42.864821,42.034373,Basalt,Jurassic,Jvari,#999933
G22068C,53.20728008929666,0.7393580866900993,17.624450989725474,9.22804946237006,0.2105621989927103,6.886402421153498,8.584618774332613,2.612072925608978,0.7773964701211613,0.129808581708734,49.07822367200001,156.30958728000002,227.4921,14.9787,40.7286,66.4191,6.623976251955824,15.063959998229713,2.033800043665656,9.186316749351592,2.437723999782919,0.8252202821390718,2.855584168888159,0.4889217788034366,3.150135555834982,0.689229095579795,1.9781565181549488,0.3041127779257437,1.993486861744159,0.3167643332167619,192.92052465986444,1.7458832252229537,1.208085347648594,18.738506213446925,1.4829355093904846,0.1642262689640996,0.4807302218500137,1.7281801260310663,18.638757033491,1.000666217957017,247.3927533542377,36.09625238441072,48.997432809250505,42.864743,42.034496,Basalt,Jurassic,Jvari,#999933
G22069,55.074240213223945,0.7745766968969188,17.84318324763828,8.862431940416858,0.1738464380681146,4.497485194510812,7.526668562544239,4.543359896377145,0.5639889817684385,0.1402188285552374,19.63565987920001,48.44724192,226.1358,15.6816,23.2947,90.8424,11.699588656289622,23.938549907645783,3.001173891888303,12.661572306598655,2.977946709608148,0.9464578360301537,3.399551033541536,0.5781256024768064,3.651297429795779,0.7881966510049672,2.212098607451785,0.3570225277221717,2.3377715881026,0.3694247889181287,108.54335685581664,3.546348503937819,3.310881491032796,21.742032365509782,2.17235039191457,0.3127717687108732,0.9208218101522834,4.7206719679975935,13.058758989702564,0.298258492133816,168.76651945767236,27.035342662743517,75.8885536476727,42.839208,42.017596,Basalt,Jurassic,Jvari,#999933
G22076,48.795632104803424,1.6942595529891329,16.42043129198235,10.293222350950565,0.1900722620737117,8.046460298618081,10.938164922046957,2.973047814321696,0.4523251528620789,0.1963842493520032,78.5261208414,239.86803456,252.1233,17.3646,75.3291,70.60679999999999,6.405185639954285,16.91695051092572,2.605942712851656,13.035681017501268,3.769673678252629,1.5070034148732208,4.84440244094489,0.8492316238241877,5.161502607866064,1.099901454146143,2.9818745328518057,0.4432424981287522,2.7517400874828866,0.4328739757545654,109.6021953923275,0.4160813852846368,4.201514348483969,28.61636567718931,2.9744307643131878,0.3445388113306844,0.1313627084382005,2.7339962900833155,17.34438609018728,2.152841389940198,233.6905048313108,39.26318582843169,118.3638645697461,42.824153,42.80577,Basalt,Jurassic?,Panaga,#AA4499
G22081,49.83127798624683,2.578693520522992,15.576571597286144,11.58700855818534,0.2087187854058267,5.832683747620882,9.21591003127206,4.0529040312454985,0.7208613557628555,0.3953703864515661,19.3903286092,17.01874944,292.3371,20.6613,60.1821,98.6832,12.965731564630431,34.70361548767009,5.204405293954369,24.38945243284324,6.735630929551731,2.3235276922495074,7.88269839060303,1.3523379780227742,8.239450953575044,1.759202924931945,4.667654233973024,0.7077831919366997,4.341530080873915,0.6592781359255999,124.8308518177714,0.6398490522018095,8.07769922332097,46.25920670963976,5.063557127004901,0.6098672111316775,0.2236270793092257,1.350730991344817,9.986588319894596,0.8639928825669245,382.2740522970423,36.78565718706454,226.27477618021152,42.799433,42.758739,Mafic Intrusive,Jurassic,Lentekhi,#AA4499
G22091,53.360869351428406,1.0585181360738227,19.236182819491564,7.105583419383388,0.1593974856993,5.524106308698429,8.154881906541442,3.705991542508727,1.4368310632508887,0.2576379669239972,39.1531110858,37.59979608,250.2423,16.0974,33.7392,64.5381,27.085289561108997,53.77312715990149,6.826345759572427,28.46613474275889,5.749835962063707,1.770484623973864,5.354441385456202,0.7742816829237695,4.4906393092508425,0.9312181443132858,2.494158483443896,0.389405763967608,2.471169584007652,0.3940937737890779,645.0614229476549,5.779086467687565,11.780566749605168,25.40410517082585,2.4512204304586533,0.6657475961948506,1.8236769692262955,6.147095963676231,29.86091080773816,0.196540902859732,608.7592293624122,25.667580955548125,91.52363240873626,42.723374,42.760059,Mafic Intrusive,Jurassic,Mazashi,#882255
G22092,53.04922339932754,1.0417435564983808,19.46695422126513,8.075384663112887,0.1424935733472832,6.326629074893638,4.776209136063176,5.698031299376644,1.069450640204797,0.35388043591052,59.4764570306,86.86987848,235.7883,15.0876,65.9142,67.0923,21.16225539475854,43.9122381911204,5.756100009036329,23.70272550319336,4.709163362346061,1.2828229523503596,4.220889448217439,0.6240169488453708,3.537814670624132,0.7373557504140036,2.051248312432223,0.3082918568661206,1.8961938658949928,0.3025048059486798,116.9606404571442,4.843466962908108,16.278970445012067,19.74190871504038,2.1593779922629355,0.826269893878017,1.430902649973699,3.0370424791683237,33.074195839326016,1.0037687044872283,162.76226171621738,24.54195940502334,79.19608443950911,42.706836,42.750772,Sandstone,Jurassic,Mazashi,#882255
G22094,50.34472274266181,2.1597557768793347,17.369670972619403,9.477923774775665,0.1920832922459981,6.0305936298195455,8.509700719850114,4.074322880715249,1.5365636196298855,0.3046625908030108,24.8129582746,45.286330320000005,319.49280000000005,19.0575,48.6189,78.33869999999999,20.22950768262302,41.67468907060628,5.314505947304355,22.697733117219894,5.311196642271777,1.87929474188421,5.827337911922569,0.9535212428618632,5.439916795264993,1.115155645462128,2.971467830275432,0.4383446036062262,2.707869412784285,0.4111083239505758,312.08026861190234,3.483937517828331,24.884874920675003,29.870867362553398,3.370202050704887,1.6373834987542375,0.8140789915934878,4.190409230692211,29.266104969687444,2.7249193222545998,480.3401470586553,36.56174371550273,138.13615542453155,42.679475,42.770126,Mafic Intrusive,Jurassic,Mazashi,#882255
G22096,65.23480722490237,0.502599161669222,16.61855739434437,4.312811497468091,0.1576204772117568,2.269104389940452,4.343810191319736,4.599575685675347,1.7665052282712297,0.1946087491974491,9.466799214200002,20.50345556,85.67945,15.1439,5.8307,52.14795,23.215947106626448,44.068315733219215,5.000945556847661,18.38288607633186,3.522016221049137,1.0383678277600654,3.3040051746946637,0.520935830535267,3.136479493017853,0.6682286719222776,1.9266848223360145,0.3262036187882541,2.129941779806084,0.3580279513146613,287.4619793721727,6.284079692465498,9.727430391458116,19.33497714512039,3.0499472772838505,0.7916859988310705,1.558455408602567,3.6596603262360015,57.72057569211545,1.1903268042113095,216.3318487818772,10.02299085443083,114.59621400624738,42.698229,42.760637,Mafic Intrusive,Jurassic,Mazashi,#882255
G22108A,55.35569343741658,0.9339165772371452,19.21338337754874,10.504927248857388,0.2308643522124954,2.38752308371148,7.388312968824049,2.535585686192263,1.2328744736369033,0.216918794362944,10.50263500855,16.074581039999998,228.4365,17.67795,39.94875,55.82775,11.43450362595244,25.992652258758675,3.48695668848062,15.420280763628003,3.773873319136219,1.1720455417881002,4.254742154741574,0.6977543207840106,4.425224648494096,0.9456559626806744,2.591513289402638,0.4109176029854572,2.627219983498692,0.4167900604308504,163.29770270887644,2.540932311040092,3.9611591157765527,24.992970841566937,2.5066649398550527,0.3182606617740853,0.6699582833108199,4.232207433955811,30.33781107755587,1.9017749108883453,277.0473364072988,24.22591757318661,90.03389988897308,42.554438,42.684758,Mafic Intrusive,Jurassic,Tsageri-Khvamli,#CC6677
G22109,51.88223240115717,0.9197203471552552,17.09870218579234,9.314729990356795,0.1920604307296688,6.108164577306331,11.190031340405012,2.274087913854066,0.8665822886531659,0.1536885245901638,40.0707192746,149.68672488,294.5052,15.4737,54.2124,82.368,9.143892474494066,20.69296074453195,2.7960673782601426,12.39551700184744,3.17372050265898,1.036629810163187,3.734721593220924,0.638235077749472,3.936164634481724,0.8472969048121297,2.3989850962163546,0.3637003379312699,2.288707004995235,0.3553455192041691,132.25141528301538,2.24595580255268,3.334149466271901,22.683556728991142,2.063570994086257,0.2885957430419036,0.6017673279718666,1.2721256796696985,23.162148488342616,1.185272956387185,295.79457972412524,42.82992482239828,73.45164029327515,42.553377,42.681753,Mafic Intrusive,Jurassic,Tsageri-Khvamli,#CC6677
G22110,62.023524352306616,0.6854738229785455,18.34893451122561,4.570729805551313,0.1791556473718479,0.9986696462303964,7.317347652387804,4.249093671374485,1.4978537495076485,0.1292171410657299,6.055017628300001,7.987168,154.53664999999998,16.63665,13.3566,73.9144,13.473463473282097,27.11311792005074,3.2556340159724826,13.554453037375108,3.2187385721234887,0.992554490869064,3.548999108104662,0.622957054762826,3.880712156222197,0.8416552229020429,2.43443082437517,0.3739130121696869,2.2934262541546144,0.364500101173092,176.24890075405534,3.71211673501962,3.666528125221888,24.204767235737464,2.5766920003134905,0.3407050742918621,0.9998215679950666,5.0070055309823,41.92652429328514,0.9783813303194836,229.3211131249463,17.23314880736566,93.76200202651826,42.539543,42.65004,Mafic Intrusive,Jurassic,Tsageri-Khvamli,#CC6677
